AEROPUERTO,JFK,John F. Kennedy,Nueva York
AEROPUERTO,LHR,Heathrow,Londres
AEROPUERTO,CDG,Charles de Gaulle,París
AEROPUERTO,HND,Haneda,Tokio
AEROPUERTO,DXB,Internacional de Dubái,Dubái
AEROPUERTO,LAX,Internacional de Los Ángeles,Los Ángeles
AEROPUERTO,AMS,Schiphol,Ámsterdam
AEROPUERTO,MAD,Adolfo Suárez Madrid-Barajas,Madrid
AEROPUERTO,SYD,Kingsford Smith,Sídney
AEROPUERTO,GRU,Guarulhos,São Paulo
AEROPUERTO,GYE,José Joaquín de Olmedo,Guayaquil
AEROPUERTO,UIO,Mariscal Sucre,Quito
AEROPUERTO,PKX,Pekín-Daxing,Pekín
AEROPUERTO,MEX,Benito Juárez,Ciudad de México
VUELO,JFK,LHR,5540,420,550.0
VUELO,JFK,CDG,5830,440,600.0
VUELO,JFK,LAX,3980,360,350.0
VUELO,JFK,MEX,3350,300,400.0
VUELO,LHR,DXB,5500,410,700.0
VUELO,LHR,AMS,370,60,150.0
VUELO,LHR,MAD,1250,150,200.0
VUELO,CDG,HND,9730,720,1200.0
VUELO,CDG,MAD,1050,120,180.0
VUELO,HND,SYD,7800,580,1100.0
VUELO,HND,PKX,2100,180,300.0
VUELO,DXB,SYD,12050,840,1500.0
VUELO,DXB,GRU,12200,900,1600.0
VUELO,LAX,SYD,12050,850,1400.0
VUELO,LAX,HND,8800,660,1000.0
VUELO,AMS,PKX,7850,600,900.0
VUELO,MAD,GRU,8350,630,950.0
VUELO,MAD,GYE,8900,680,1100.0
VUELO,GRU,GYE,4300,360,500.0
VUELO,GYE,UIO,280,45,80.0
VUELO,MEX,GYE,3000,240,450.0